Desc,Exp,Y_Val,Y_Pred
week_2048,0,1,0.5114480356375376
week_2048,0,1,0.1490603176256021
week_2048,0,1,0.5114480356375376
week_2048,0,1,0.7804245087835524
week_2048,0,1,0.5892191429932913
week_2048,0,1,0.5892191429932913
week_2048,0,1,0.31547334127955967
week_2048,0,1,0.5892191429932913
week_2048,0,1,0.7804245087835524
week_2048,0,1,0.31547334127955967
week_2048,0,1,0.6070130301846398
week_2048,0,1,0.5892191429932913
week_2048,0,1,0.7804245087835524
week_2048,0,1,0.5571643014748892
week_2048,0,1,0.7804245087835524
week_2048,0,1,0.31547334127955967
week_2048,0,1,0.7804245087835524
week_2048,0,1,0.1490603176256021
week_2048,0,1,0.1490603176256021
week_2048,0,1,0.1490603176256021
week_2048,0,1,0.31547334127955967
week_2048,0,1,0.1490603176256021
week_2048,0,1,0.5114480356375376
week_2048,0,1,0.6070130301846398
week_2048,0,1,0.7804245087835524
week_2048,0,1,0.6070130301846398
week_2048,0,1,0.31547334127955967
week_2048,0,1,0.31547334127955967
week_2048,0,1,0.6070130301846398
week_2048,0,1,0.5892191429932913
week_2048,0,1,0.7804245087835524
week_2048,0,1,0.6070130301846398
week_2048,0,1,0.31547334127955967
week_2048,0,1,0.5114480356375376
week_2048,0,1,0.1490603176256021
week_2048,0,1,0.1490603176256021
week_2048,0,1,0.5571643014748892
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9743395381503634
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9743395381503634
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9743395381503634
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9743395381503634
week_2048,0,1,0.9743395381503634
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9743395381503634
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9743395381503634
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9743395381503634
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9743395381503634
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9743395381503634
week_2048,0,1,0.9743395381503634
week_2048,0,1,0.9500291546185812
week_2048,0,1,0.9743395381503634
week_2048,0,1,0.9743395381503634
week_2048,0,1,0.7445435192849901
week_2048,0,1,0.7445435192849901
week_2048,0,1,0.6666015386581421
week_2048,0,1,0.9566448662016127
week_2048,0,1,0.6666015386581421
week_2048,0,1,0.7445435192849901
week_2048,0,1,0.7541059255599976
week_2048,0,1,0.7445435192849901
week_2048,0,1,0.7541059255599976
week_2048,0,1,0.7541059255599976
week_2048,0,1,0.7445435192849901
week_2048,0,1,0.6666015386581421
week_2048,0,1,0.6666015386581421
week_2048,0,1,0.9566448662016127
week_2048,0,1,0.6666015386581421
week_2048,0,1,0.6666015386581421
week_2048,0,1,0.6666015386581421
week_2048,0,1,0.9566448662016127
week_2048,0,1,0.7445435192849901
week_2048,0,1,0.9566448662016127
week_2048,0,1,0.7445435192849901
week_2048,0,1,0.6666015386581421
week_2048,0,1,0.6666015386581421
week_2048,0,1,0.7445435192849901
week_2048,0,1,0.7445435192849901
week_2048,0,1,0.6666015386581421
week_2048,0,1,0.9566448662016127
week_2048,0,1,0.7541059255599976
week_2048,0,1,0.9566448662016127
week_2048,0,1,0.7445435192849901
week_2048,0,1,0.7541059255599976
week_2048,0,1,0.7445435192849901
week_2048,0,1,0.6666015386581421
week_2048,0,1,0.6666015386581421
week_2048,0,1,0.9566448662016127
week_2048,0,1,0.9566448662016127
week_2048,0,1,0.6666015386581421
week_2048,0,1,0.8973583380381266
